[INFO] [1776169087.166005416] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.0 ms | preprocess=4.1 ms | infer=125.3 ms | post=37.7 ms | fps_avg=5.99 | fps_out=5.93 | last_total=166.4 ms | last_infer=124.8 ms | processed=922 | rgb_rx=975 | tir_rx=982 | dropped=109 | cuda_mem=1008/1780 MB
[INFO] [1776169092.252481407] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=166.9 ms | preprocess=4.1 ms | infer=125.2 ms | post=37.7 ms | fps_avg=5.99 | fps_out=5.70 | last_total=168.1 ms | last_infer=126.2 ms | processed=951 | rgb_rx=1008 | tir_rx=1016 | dropped=118 | cuda_mem=1008/1780 MB
[INFO] [1776169097.304788692] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.4 ms | preprocess=4.1 ms | infer=125.5 ms | post=37.7 ms | fps_avg=5.97 | fps_out=5.74 | last_total=170.0 ms | last_infer=127.3 ms | processed=980 | rgb_rx=1041 | tir_rx=1049 | dropped=126 | cuda_mem=1008/1780 MB
[INFO] [1776169102.437247091] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=168.3 ms | preprocess=4.1 ms | infer=126.2 ms | post=38.0 ms | fps_avg=5.94 | fps_out=5.85 | last_total=168.7 ms | last_infer=127.2 ms | processed=1010 | rgb_rx=1072 | tir_rx=1080 | dropped=128 | cuda_mem=1008/1780 MB
[INFO] [1776169107.564168188] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=170.4 ms | preprocess=4.2 ms | infer=128.1 ms | post=38.2 ms | fps_avg=5.87 | fps_out=5.66 | last_total=167.6 ms | last_infer=125.8 ms | processed=1039 | rgb_rx=1102 | tir_rx=1112 | dropped=132 | cuda_mem=1008/1780 MB
[INFO] [1776169112.621582223] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=169.8 ms | preprocess=4.2 ms | infer=127.7 ms | post=37.9 ms | fps_avg=5.89 | fps_out=5.93 | last_total=166.2 ms | last_infer=124.7 ms | processed=1069 | rgb_rx=1132 | tir_rx=1142 | dropped=132 | cuda_mem=1008/1780 MB
[INFO] [1776169117.673157140] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=166.8 ms | preprocess=4.1 ms | infer=125.2 ms | post=37.6 ms | fps_avg=5.99 | fps_out=5.94 | last_total=167.7 ms | last_infer=125.5 ms | processed=1099 | rgb_rx=1162 | tir_rx=1173 | dropped=133 | cuda_mem=1008/1780 MB
[INFO] [1776169122.685707835] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=166.7 ms | preprocess=4.1 ms | infer=125.0 ms | post=37.7 ms | fps_avg=6.00 | fps_out=5.79 | last_total=166.4 ms | last_infer=124.9 ms | processed=1128 | rgb_rx=1192 | tir_rx=1204 | dropped=136 | cuda_mem=1008/1780 MB
[INFO] [1776169127.736694237] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=166.9 ms | preprocess=4.1 ms | infer=125.2 ms | post=37.7 ms | fps_avg=5.99 | fps_out=5.94 | last_total=168.4 ms | last_infer=125.9 ms | processed=1158 | rgb_rx=1222 | tir_rx=1234 | dropped=136 | cuda_mem=1008/1780 MB
[INFO] [1776169132.833872243] [cpgfanet_topic_inference]: Rendimiento topic FANet | total=167.3 ms | preprocess=4.1 ms | infer=125.4 ms | post=37.8 ms | fps_avg=5.98 | fps_out=5.88 | last_total=167.9 ms | last_infer=125.7 ms | processed=1188 | rgb_rx=1253 | tir_rx=1265 | dropped=138 | cuda_mem=1008/1780 MB
